SITIO;FECHA;HORA;playlist ;T1;T2;T3;T4;T5;T6;T7;T8;T9;T10;T11
1;3/04/2024;8:00:00 p. m.;1;RES; SIL; RUI; SIL;SIL; RES; SIL; RUI;;;
1;3/04/2024;8:20:00 p. m.;2;RUI; SIL; RES; SIL; SIL; RES; SIL; RUI;;;
1;3/04/2024;8:40:00 p. m.;3;RES; SIL;RUI; SIL; SIL ; RUI; SIL;  RES;;;
1;3/04/2024;9:00:00 p. m.;4;RES; SIL; RES; SIL; SIL; RUI; SIL; RUI;;;
1;3/04/2024;9:20:00 p. m.;5;RUI; SIL; RES; SIL; SIL; RUI; SIL; RES;;;
1;3/04/2024;9:40:00 p. m.;1;RES; SIL; RUI; SIL; SIL; RES; SIL; RUI;;;
1;3/04/2024;10:00:00 p. m.;6;RUI; SIL; RUI; SIL; SIL;RES; SIL; RES;;;
1;3/04/2024;10:20:00 p. m.;3;RES; SIL; RES; SIL; SIL; RUI; SIL; RUI;;;
1;3/04/2024;10:40:00 p. m.;2;RUI; SIL; RES; SIL;SIL; RES; SIL; RUI;;;
2;4/04/2024;8:00:00 p. m.;7;RUI; SIL; RES; SIL; SIL; RUI; SIL; RES;;;
2;4/04/2024;8:20:00 p. m.;8;RES; SIL;RUI; SIL; SIL;RUI; SIL;  RES;;;
2;4/04/2024;8:40:00 p. m.;7;RUI; SIL; RES; SIL; SIL;RUI; SIL; RES;;;
2;4/04/2024;9:00:00 p. m.;9;RUI; SIL; RES; SIL; SIL;RES; SIL; RUI;;;
2;4/04/2024;9:20:00 p. m.;10;RES; SIL; RUI; SIL; SIL;RES; SIL; RUI;;;
2;4/04/2024;9:40:00 p. m.;9;RUI; SIL; RES; SIL; SIL;RES; SIL; RUI;;;
2;4/04/2024;10:00:00 p. m.;11;RES; SIL; RES; SIL;SIL; RUI; SIL; RUI;;;
2;4/04/2024;10:20:00 p. m.;12;RUI; SIL; RUI; SIL;SIL; RES; SIL; RES;;;
2;4/04/2024;10:40:00 p. m.;10;RES; SIL; RUI; SIL;SIL; RES; SIL; RUI;;;
3;5/04/2024;8:00:00 p. m.;13;RES; SIL;RUI; SIL;SIL; RUI; SIL;  RES;;;
3;5/04/2024;8:20:00 p. m.;14;RES; SIL; RES; SIL;SIL; RUI; SIL; RUI;;;
3;5/04/2024;8:40:00 p. m.;15;RUI; SIL; RES; SIL; SIL;RUI; SIL; RES;;;
3;5/04/2024;9:00:00 p. m.;16;RES; SIL; RUI; SIL;SIL; RES; SIL; RUI;;;
3;5/04/2024;9:20:00 p. m.;17;RUI; SIL; RUI; SIL; SIL;RES; SIL; RES;;;
3;5/04/2024;9:40:00 p. m.;18;RUI; SIL; RES; SIL;SIL; RES; SIL; RUI;;;
3;5/04/2024;10:00:00 p. m.;13;RES; SIL;RUI; SIL; SIL;RUI; SIL;  RES;;;
3;5/04/2024;10:20:00 p. m.;15;RUI; SIL; RES; SIL;SIL; RUI; SIL; RES;;;
3;5/04/2024;10:40:00 p. m.;17;RUI; SIL; RUI; SIL; SIL; RES; SIL; RES;;;
1;6/04/2024;8:00:00 p. m.;19;RES; SIL; RUI; SIL; DIS; SIL;RES; SIL; RUI;SIL;DIS
1;6/04/2024;8:20:00 p. m.;20;DIS; SIL; RUI; SIL; RUI; SIL; RES; SIL; DIS;  SIL; RES
1;6/04/2024;8:40:00 p. m.;21;RES; SIL; DIS; SIL ;RUI; SIL; DIS; SIL; RUI; SIL;  RES
1;6/04/2024;9:00:00 p. m.;22;RUI; SIL; RES; SIL; DIS; SIL; DIS; SIL; RUI; SIL; RES
1;6/04/2024;9:20:00 p. m.;23;DIS;SIL; RES; SIL; RES; SIL; RUI; SIL; RUI; SIL; DIS
1;6/04/2024;9:40:00 p. m.;24;RUI; SIL; DIS; SIL; RES; SIL;DIS; SIL; RES; SIL; RUI
1;6/04/2024;10:00:00 p. m.;21;RES; SIL; DIS; SIL ;RUI; SIL; DIS; SIL; RUI; SIL;  RES
1;6/04/2024;10:20:00 p. m.;23;DIS;SIL; RES; SIL; RES; SIL; RUI; SIL; RUI; SIL; DIS
1;6/04/2024;10:40:00 p. m.;19;RES; SIL; RUI; SIL; DIS; SIL;RES; SIL; RUI;SIL;DIS
2;7/04/2024;8:00:00 p. m.;25;DIS;SIL; RES; SIL; RES; SIL; RUI; SIL; RUI; SIL; DIS
2;7/04/2024;8:20:00 p. m.;26;RUI; SIL; DIS; SIL; RES; SIL;DIS; SIL; RES; SIL; RUI
2;7/04/2024;8:40:00 p. m.;27;RES; SIL; DIS; SIL ;RUI; SIL; DIS; SIL; RUI; SIL;  RES
2;7/04/2024;9:00:00 p. m.;28;RUI; SIL; RES; SIL; DIS; SIL; DIS; SIL; RUI; SIL; RES
2;7/04/2024;9:20:00 p. m.;29;RES; SIL; RUI; SIL; DIS; SIL;RES; SIL; RUI;SIL;DIS
2;7/04/2024;9:40:00 p. m.;30;DIS; SIL; RUI; SIL; RUI; SIL; RES; SIL; DIS;  SIL; RES
2;7/04/2024;10:00:00 p. m.;26;RUI; SIL; DIS; SIL; RES; SIL;DIS; SIL; RES; SIL; RUI
2;7/04/2024;10:20:00 p. m.;28;RUI; SIL; RES; SIL; DIS; SIL; DIS; SIL; RUI; SIL; RES
2;7/04/2024;10:40:00 p. m.;30;DIS; SIL; RUI; SIL; RUI; SIL; RES; SIL; DIS;  SIL; RES
3;8/04/2024;8:00:00 p. m.;31;DIS;SIL; RES; SIL; RES; SIL; RUI; SIL; RUI; SIL; DIS
3;8/04/2024;8:20:00 p. m.;32;RUI; SIL; DIS; SIL; RES; SIL;DIS; SIL; RES; SIL; RUI
3;8/04/2024;8:40:00 p. m.;33;RES; SIL; RUI; SIL; DIS; SIL;RES; SIL; RUI;SIL;DIS
3;8/04/2024;9:00:00 p. m.;34;RUI; SIL; RES; SIL; DIS; SIL; DIS; SIL; RUI; SIL; RES
3;8/04/2024;9:20:00 p. m.;35;DIS; SIL; RUI; SIL; RUI; SIL; RES; SIL; DIS;  SIL; RES
3;8/04/2024;9:40:00 p. m.;36;RES; SIL; DIS; SIL ;RUI; SIL; DIS; SIL; RUI; SIL;  RES
3;8/04/2024;10:00:00 p. m.;37;DIS; SIL; RUI; SIL; RES; SIL; RES; SIL; DIS;  SIL; RUI
3;8/04/2024;10:20:00 p. m.;38;RUI; SIL; RUI; SIL;DIS ; SIL;DIS; SIL; RES; SIL; RES
3;8/04/2024;10:40:00 p. m.;39;RES; SIL; RUI ; SIL ;RES; SIL; DIS; SIL; RUI; SIL; DIS
1;9/04/2024;8:00:00 p. m.;40;RUI; SIL; RUI; SIL;DIS ; SIL;DIS; SIL; RES; SIL; RES
1;9/04/2024;8:20:00 p. m.;41;RES; SIL; RUI ; SIL ;RES; SIL; DIS; SIL; RUI; SIL; DIS
1;9/04/2024;8:40:00 p. m.;42;DIS; SIL; RUI; SIL; RES; SIL; RES; SIL; DIS;  SIL; RUI
1;9/04/2024;9:00:00 p. m.;43;RES; SIL; DIS; SIL ;RUI; SIL; DIS; SIL; RUI; SIL;  RES
1;9/04/2024;9:20:00 p. m.;44;RUI; SIL; RES; SIL; DIS; SIL; DIS; SIL; RUI; SIL; RES
1;9/04/2024;9:40:00 p. m.;45;RES; SIL; RUI; SIL; DIS; SIL;RES; SIL; RUI;SIL;DIS
1;9/04/2024;10:00:00 p. m.;46;DIS; SIL; RUI; SIL; RUI; SIL; RES; SIL; DIS;  SIL; RES
1;9/04/2024;10:20:00 p. m.;47;DIS;SIL; RES; SIL; RES; SIL; RUI; SIL; RUI; SIL; DIS
1;9/04/2024;10:40:00 p. m.;48;RUI; SIL; RES; SIL; DIS; SIL;RES; SIL; RUI;SIL;DIS
2;10/04/2024;8:00:00 p. m.;19;RES; SIL; RUI; SIL; DIS; SIL;RES; SIL; RUI;SIL;DIS
2;10/04/2024;8:20:00 p. m.;20;DIS; SIL; RUI; SIL; RUI; SIL; RES; SIL; DIS;  SIL; RES
2;10/04/2024;8:40:00 p. m.;21;RES; SIL; DIS; SIL ;RUI; SIL; DIS; SIL; RUI; SIL;  RES
2;10/04/2024;9:00:00 p. m.;22;RUI; SIL; RES; SIL; DIS; SIL; DIS; SIL; RUI; SIL; RES
2;10/04/2024;9:20:00 p. m.;23;DIS;SIL; RES; SIL; RES; SIL; RUI; SIL; RUI; SIL; DIS
2;10/04/2024;9:40:00 p. m.;24;RUI; SIL; DIS; SIL; RES; SIL;DIS; SIL; RES; SIL; RUI
2;10/04/2024;10:00:00 p. m.;49;RES; SIL; RES; SIL ;RUI; SIL; DIS; SIL; RUI; SIL;  DIS
2;10/04/2024;10:20:00 p. m.;50;DIS;SIL; RES; SIL;RUI ; SIL;RES ; SIL; RUI; SIL; DIS
2;10/04/2024;10:40:00 p. m.;51;RES; SIL; RES; SIL; DIS; SIL;RUI; SIL; RUI;SIL;DIS
3;11/04/2024;8:00:00 p. m.;29;RES; SIL; RUI; SIL; DIS; SIL;RES; SIL; RUI;SIL;DIS
3;11/04/2024;8:20:00 p. m.;27;RES; SIL; DIS; SIL ;RUI; SIL; DIS; SIL; RUI; SIL;  RES
3;11/04/2024;8:40:00 p. m.;28;RUI; SIL; RES; SIL; DIS; SIL; DIS; SIL; RUI; SIL; RES
3;11/04/2024;9:00:00 p. m.;54;DIS; SIL;DIS; SIL; RUI; SIL; RES; SIL; RUI ;  SIL; RES
3;11/04/2024;9:20:00 p. m.;26;RUI; SIL; DIS; SIL; RES; SIL;DIS; SIL; RES; SIL; RUI
3;11/04/2024;9:40:00 p. m.;25;DIS;SIL; RES; SIL; RES; SIL; RUI; SIL; RUI; SIL; DIS
3;11/04/2024;10:00:00 p. m.;30;DIS; SIL; RUI; SIL; RUI; SIL; RES; SIL; DIS;  SIL; RES
3;11/04/2024;10:20:00 p. m.;53;RES; SIL; RUI; SIL;RES ; SIL;DIS; SIL; RUI;SIL;DIS
3;11/04/2024;10:40:00 p. m.;52;RUI; SIL; RUI; SIL; DIS; SIL; RES; SIL;DIS; SIL; RES
