index;SITIO;FECHA;HORA;playlist;Tipo;Valor
0;1;3/04/2024;20:00:00;1;T1;RES
0;1;3/04/2024;20:01:00;1;T2; SIL
0;1;3/04/2024;20:02:00;1;T3; RUI
0;1;3/04/2024;20:03:00;1;T4; SIL
0;1;3/04/2024;20:04:00;1;T5;SIL
0;1;3/04/2024;20:05:00;1;T6; RES
0;1;3/04/2024;20:06:00;1;T7; SIL
0;1;3/04/2024;20:07:00;1;T8; RUI
0;1;3/04/2024;20:08:00;1;T9;
0;1;3/04/2024;20:09:00;1;T10;
0;1;3/04/2024;20:10:00;1;T11;
5;1;3/04/2024;21:40:00;1;T1;RES
5;1;3/04/2024;21:41:00;1;T2; SIL
5;1;3/04/2024;21:42:00;1;T3; RUI
5;1;3/04/2024;21:43:00;1;T4; SIL
5;1;3/04/2024;21:44:00;1;T5; SIL
5;1;3/04/2024;21:45:00;1;T6; RES
5;1;3/04/2024;21:46:00;1;T7; SIL
5;1;3/04/2024;21:47:00;1;T8; RUI
5;1;3/04/2024;21:48:00;1;T9;
5;1;3/04/2024;21:49:00;1;T10;
5;1;3/04/2024;21:50:00;1;T11;
1;1;3/04/2024;20:20:00;2;T1;RUI
1;1;3/04/2024;20:21:00;2;T2; SIL
1;1;3/04/2024;20:22:00;2;T3; RES
1;1;3/04/2024;20:23:00;2;T4; SIL
1;1;3/04/2024;20:24:00;2;T5; SIL
1;1;3/04/2024;20:25:00;2;T6; RES
1;1;3/04/2024;20:26:00;2;T7; SIL
1;1;3/04/2024;20:27:00;2;T8; RUI
1;1;3/04/2024;20:28:00;2;T9;
1;1;3/04/2024;20:29:00;2;T10;
1;1;3/04/2024;20:30:00;2;T11;
8;1;3/04/2024;22:40:00;2;T1;RUI
8;1;3/04/2024;22:41:00;2;T2; SIL
8;1;3/04/2024;22:42:00;2;T3; RES
8;1;3/04/2024;22:43:00;2;T4; SIL
8;1;3/04/2024;22:44:00;2;T5;SIL
8;1;3/04/2024;22:45:00;2;T6; RES
8;1;3/04/2024;22:46:00;2;T7; SIL
8;1;3/04/2024;22:47:00;2;T8; RUI
8;1;3/04/2024;22:48:00;2;T9;
8;1;3/04/2024;22:49:00;2;T10;
8;1;3/04/2024;22:50:00;2;T11;
2;1;3/04/2024;20:40:00;3;T1;RES
2;1;3/04/2024;20:41:00;3;T2; SIL
2;1;3/04/2024;20:42:00;3;T3;RUI
2;1;3/04/2024;20:43:00;3;T4; SIL
2;1;3/04/2024;20:44:00;3;T5; SIL 
2;1;3/04/2024;20:45:00;3;T6; RUI
2;1;3/04/2024;20:46:00;3;T7; SIL
2;1;3/04/2024;20:47:00;3;T8;  RES
2;1;3/04/2024;20:48:00;3;T9;
2;1;3/04/2024;20:49:00;3;T10;
2;1;3/04/2024;20:50:00;3;T11;
7;1;3/04/2024;22:20:00;3;T1;RES
7;1;3/04/2024;22:21:00;3;T2; SIL
7;1;3/04/2024;22:22:00;3;T3; RES
7;1;3/04/2024;22:23:00;3;T4; SIL
7;1;3/04/2024;22:24:00;3;T5; SIL
7;1;3/04/2024;22:25:00;3;T6; RUI
7;1;3/04/2024;22:26:00;3;T7; SIL
7;1;3/04/2024;22:27:00;3;T8; RUI
7;1;3/04/2024;22:28:00;3;T9;
7;1;3/04/2024;22:29:00;3;T10;
7;1;3/04/2024;22:30:00;3;T11;
3;1;3/04/2024;21:00:00;4;T1;RES
3;1;3/04/2024;21:01:00;4;T2; SIL
3;1;3/04/2024;21:02:00;4;T3; RES
3;1;3/04/2024;21:03:00;4;T4; SIL
3;1;3/04/2024;21:04:00;4;T5; SIL
3;1;3/04/2024;21:05:00;4;T6; RUI
3;1;3/04/2024;21:06:00;4;T7; SIL
3;1;3/04/2024;21:07:00;4;T8; RUI
3;1;3/04/2024;21:08:00;4;T9;
3;1;3/04/2024;21:09:00;4;T10;
3;1;3/04/2024;21:10:00;4;T11;
4;1;3/04/2024;21:20:00;5;T1;RUI
4;1;3/04/2024;21:21:00;5;T2; SIL
4;1;3/04/2024;21:22:00;5;T3; RES
4;1;3/04/2024;21:23:00;5;T4; SIL
4;1;3/04/2024;21:24:00;5;T5; SIL
4;1;3/04/2024;21:25:00;5;T6; RUI
4;1;3/04/2024;21:26:00;5;T7; SIL
4;1;3/04/2024;21:27:00;5;T8; RES
4;1;3/04/2024;21:28:00;5;T9;
4;1;3/04/2024;21:29:00;5;T10;
4;1;3/04/2024;21:30:00;5;T11;
6;1;3/04/2024;22:00:00;6;T1;RUI
6;1;3/04/2024;22:01:00;6;T2; SIL
6;1;3/04/2024;22:02:00;6;T3; RUI
6;1;3/04/2024;22:03:00;6;T4; SIL
6;1;3/04/2024;22:04:00;6;T5; SIL
6;1;3/04/2024;22:05:00;6;T6;RES
6;1;3/04/2024;22:06:00;6;T7; SIL
6;1;3/04/2024;22:07:00;6;T8; RES
6;1;3/04/2024;22:08:00;6;T9;
6;1;3/04/2024;22:09:00;6;T10;
6;1;3/04/2024;22:10:00;6;T11;
9;2;4/04/2024;20:00:00;7;T1;RUI
9;2;4/04/2024;20:01:00;7;T2; SIL
9;2;4/04/2024;20:02:00;7;T3; RES
9;2;4/04/2024;20:03:00;7;T4; SIL
9;2;4/04/2024;20:04:00;7;T5; SIL
9;2;4/04/2024;20:05:00;7;T6; RUI
9;2;4/04/2024;20:06:00;7;T7; SIL
9;2;4/04/2024;20:07:00;7;T8; RES
9;2;4/04/2024;20:08:00;7;T9;
9;2;4/04/2024;20:09:00;7;T10;
9;2;4/04/2024;20:10:00;7;T11;
11;2;4/04/2024;20:40:00;7;T1;RUI
11;2;4/04/2024;20:41:00;7;T2; SIL
11;2;4/04/2024;20:42:00;7;T3; RES
11;2;4/04/2024;20:43:00;7;T4; SIL
11;2;4/04/2024;20:44:00;7;T5; SIL
11;2;4/04/2024;20:45:00;7;T6;RUI
11;2;4/04/2024;20:46:00;7;T7; SIL
11;2;4/04/2024;20:47:00;7;T8; RES
11;2;4/04/2024;20:48:00;7;T9;
11;2;4/04/2024;20:49:00;7;T10;
11;2;4/04/2024;20:50:00;7;T11;
10;2;4/04/2024;20:20:00;8;T1;RES
10;2;4/04/2024;20:21:00;8;T2; SIL
10;2;4/04/2024;20:22:00;8;T3;RUI
10;2;4/04/2024;20:23:00;8;T4; SIL
10;2;4/04/2024;20:24:00;8;T5; SIL
10;2;4/04/2024;20:25:00;8;T6;RUI
10;2;4/04/2024;20:26:00;8;T7; SIL
10;2;4/04/2024;20:27:00;8;T8;  RES
10;2;4/04/2024;20:28:00;8;T9;
10;2;4/04/2024;20:29:00;8;T10;
10;2;4/04/2024;20:30:00;8;T11;
12;2;4/04/2024;21:00:00;9;T1;RUI
12;2;4/04/2024;21:01:00;9;T2; SIL
12;2;4/04/2024;21:02:00;9;T3; RES
12;2;4/04/2024;21:03:00;9;T4; SIL
12;2;4/04/2024;21:04:00;9;T5; SIL
12;2;4/04/2024;21:05:00;9;T6;RES
12;2;4/04/2024;21:06:00;9;T7; SIL
12;2;4/04/2024;21:07:00;9;T8; RUI
12;2;4/04/2024;21:08:00;9;T9;
12;2;4/04/2024;21:09:00;9;T10;
12;2;4/04/2024;21:10:00;9;T11;
14;2;4/04/2024;21:40:00;9;T1;RUI
14;2;4/04/2024;21:41:00;9;T2; SIL
14;2;4/04/2024;21:42:00;9;T3; RES
14;2;4/04/2024;21:43:00;9;T4; SIL
14;2;4/04/2024;21:44:00;9;T5; SIL
14;2;4/04/2024;21:45:00;9;T6;RES
14;2;4/04/2024;21:46:00;9;T7; SIL
14;2;4/04/2024;21:47:00;9;T8; RUI
14;2;4/04/2024;21:48:00;9;T9;
14;2;4/04/2024;21:49:00;9;T10;
14;2;4/04/2024;21:50:00;9;T11;
13;2;4/04/2024;21:20:00;10;T1;RES
13;2;4/04/2024;21:21:00;10;T2; SIL
13;2;4/04/2024;21:22:00;10;T3; RUI
13;2;4/04/2024;21:23:00;10;T4; SIL
13;2;4/04/2024;21:24:00;10;T5; SIL
13;2;4/04/2024;21:25:00;10;T6;RES
13;2;4/04/2024;21:26:00;10;T7; SIL
13;2;4/04/2024;21:27:00;10;T8; RUI
13;2;4/04/2024;21:28:00;10;T9;
13;2;4/04/2024;21:29:00;10;T10;
13;2;4/04/2024;21:30:00;10;T11;
17;2;4/04/2024;22:40:00;10;T1;RES
17;2;4/04/2024;22:41:00;10;T2; SIL
17;2;4/04/2024;22:42:00;10;T3; RUI
17;2;4/04/2024;22:43:00;10;T4; SIL
17;2;4/04/2024;22:44:00;10;T5;SIL
17;2;4/04/2024;22:45:00;10;T6; RES
17;2;4/04/2024;22:46:00;10;T7; SIL
17;2;4/04/2024;22:47:00;10;T8; RUI
17;2;4/04/2024;22:48:00;10;T9;
17;2;4/04/2024;22:49:00;10;T10;
17;2;4/04/2024;22:50:00;10;T11;
15;2;4/04/2024;22:00:00;11;T1;RES
15;2;4/04/2024;22:01:00;11;T2; SIL
15;2;4/04/2024;22:02:00;11;T3; RES
15;2;4/04/2024;22:03:00;11;T4; SIL
15;2;4/04/2024;22:04:00;11;T5;SIL
15;2;4/04/2024;22:05:00;11;T6; RUI
15;2;4/04/2024;22:06:00;11;T7; SIL
15;2;4/04/2024;22:07:00;11;T8; RUI
15;2;4/04/2024;22:08:00;11;T9;
15;2;4/04/2024;22:09:00;11;T10;
15;2;4/04/2024;22:10:00;11;T11;
16;2;4/04/2024;22:20:00;12;T1;RUI
16;2;4/04/2024;22:21:00;12;T2; SIL
16;2;4/04/2024;22:22:00;12;T3; RUI
16;2;4/04/2024;22:23:00;12;T4; SIL
16;2;4/04/2024;22:24:00;12;T5;SIL
16;2;4/04/2024;22:25:00;12;T6; RES
16;2;4/04/2024;22:26:00;12;T7; SIL
16;2;4/04/2024;22:27:00;12;T8; RES
16;2;4/04/2024;22:28:00;12;T9;
16;2;4/04/2024;22:29:00;12;T10;
16;2;4/04/2024;22:30:00;12;T11;
18;3;5/04/2024;20:00:00;13;T1;RES
18;3;5/04/2024;20:01:00;13;T2; SIL
18;3;5/04/2024;20:02:00;13;T3;RUI
18;3;5/04/2024;20:03:00;13;T4; SIL
18;3;5/04/2024;20:04:00;13;T5;SIL
18;3;5/04/2024;20:05:00;13;T6; RUI
18;3;5/04/2024;20:06:00;13;T7; SIL
18;3;5/04/2024;20:07:00;13;T8;  RES
18;3;5/04/2024;20:08:00;13;T9;
18;3;5/04/2024;20:09:00;13;T10;
18;3;5/04/2024;20:10:00;13;T11;
24;3;5/04/2024;22:00:00;13;T1;RES
24;3;5/04/2024;22:01:00;13;T2; SIL
24;3;5/04/2024;22:02:00;13;T3;RUI
24;3;5/04/2024;22:03:00;13;T4; SIL
24;3;5/04/2024;22:04:00;13;T5; SIL
24;3;5/04/2024;22:05:00;13;T6;RUI
24;3;5/04/2024;22:06:00;13;T7; SIL
24;3;5/04/2024;22:07:00;13;T8;  RES
24;3;5/04/2024;22:08:00;13;T9;
24;3;5/04/2024;22:09:00;13;T10;
24;3;5/04/2024;22:10:00;13;T11;
19;3;5/04/2024;20:20:00;14;T1;RES
19;3;5/04/2024;20:21:00;14;T2; SIL
19;3;5/04/2024;20:22:00;14;T3; RES
19;3;5/04/2024;20:23:00;14;T4; SIL
19;3;5/04/2024;20:24:00;14;T5;SIL
19;3;5/04/2024;20:25:00;14;T6; RUI
19;3;5/04/2024;20:26:00;14;T7; SIL
19;3;5/04/2024;20:27:00;14;T8; RUI
19;3;5/04/2024;20:28:00;14;T9;
19;3;5/04/2024;20:29:00;14;T10;
19;3;5/04/2024;20:30:00;14;T11;
20;3;5/04/2024;20:40:00;15;T1;RUI
20;3;5/04/2024;20:41:00;15;T2; SIL
20;3;5/04/2024;20:42:00;15;T3; RES
20;3;5/04/2024;20:43:00;15;T4; SIL
20;3;5/04/2024;20:44:00;15;T5; SIL
20;3;5/04/2024;20:45:00;15;T6;RUI
20;3;5/04/2024;20:46:00;15;T7; SIL
20;3;5/04/2024;20:47:00;15;T8; RES
20;3;5/04/2024;20:48:00;15;T9;
20;3;5/04/2024;20:49:00;15;T10;
20;3;5/04/2024;20:50:00;15;T11;
25;3;5/04/2024;22:20:00;15;T1;RUI
25;3;5/04/2024;22:21:00;15;T2; SIL
25;3;5/04/2024;22:22:00;15;T3; RES
25;3;5/04/2024;22:23:00;15;T4; SIL
25;3;5/04/2024;22:24:00;15;T5;SIL
25;3;5/04/2024;22:25:00;15;T6; RUI
25;3;5/04/2024;22:26:00;15;T7; SIL
25;3;5/04/2024;22:27:00;15;T8; RES
25;3;5/04/2024;22:28:00;15;T9;
25;3;5/04/2024;22:29:00;15;T10;
25;3;5/04/2024;22:30:00;15;T11;
21;3;5/04/2024;21:00:00;16;T1;RES
21;3;5/04/2024;21:01:00;16;T2; SIL
21;3;5/04/2024;21:02:00;16;T3; RUI
21;3;5/04/2024;21:03:00;16;T4; SIL
21;3;5/04/2024;21:04:00;16;T5;SIL
21;3;5/04/2024;21:05:00;16;T6; RES
21;3;5/04/2024;21:06:00;16;T7; SIL
21;3;5/04/2024;21:07:00;16;T8; RUI
21;3;5/04/2024;21:08:00;16;T9;
21;3;5/04/2024;21:09:00;16;T10;
21;3;5/04/2024;21:10:00;16;T11;
22;3;5/04/2024;21:20:00;17;T1;RUI
22;3;5/04/2024;21:21:00;17;T2; SIL
22;3;5/04/2024;21:22:00;17;T3; RUI
22;3;5/04/2024;21:23:00;17;T4; SIL
22;3;5/04/2024;21:24:00;17;T5; SIL
22;3;5/04/2024;21:25:00;17;T6;RES
22;3;5/04/2024;21:26:00;17;T7; SIL
22;3;5/04/2024;21:27:00;17;T8; RES
22;3;5/04/2024;21:28:00;17;T9;
22;3;5/04/2024;21:29:00;17;T10;
22;3;5/04/2024;21:30:00;17;T11;
26;3;5/04/2024;22:40:00;17;T1;RUI
26;3;5/04/2024;22:41:00;17;T2; SIL
26;3;5/04/2024;22:42:00;17;T3; RUI
26;3;5/04/2024;22:43:00;17;T4; SIL
26;3;5/04/2024;22:44:00;17;T5; SIL
26;3;5/04/2024;22:45:00;17;T6; RES
26;3;5/04/2024;22:46:00;17;T7; SIL
26;3;5/04/2024;22:47:00;17;T8; RES
26;3;5/04/2024;22:48:00;17;T9;
26;3;5/04/2024;22:49:00;17;T10;
26;3;5/04/2024;22:50:00;17;T11;
23;3;5/04/2024;21:40:00;18;T1;RUI
23;3;5/04/2024;21:41:00;18;T2; SIL
23;3;5/04/2024;21:42:00;18;T3; RES
23;3;5/04/2024;21:43:00;18;T4; SIL
23;3;5/04/2024;21:44:00;18;T5;SIL
23;3;5/04/2024;21:45:00;18;T6; RES
23;3;5/04/2024;21:46:00;18;T7; SIL
23;3;5/04/2024;21:47:00;18;T8; RUI
23;3;5/04/2024;21:48:00;18;T9;
23;3;5/04/2024;21:49:00;18;T10;
23;3;5/04/2024;21:50:00;18;T11;
27;1;6/04/2024;20:00:00;19;T1;RES
63;2;10/04/2024;20:00:00;19;T1;RES
27;1;6/04/2024;20:01:00;19;T2; SIL
63;2;10/04/2024;20:01:00;19;T2; SIL
27;1;6/04/2024;20:02:00;19;T3; RUI
63;2;10/04/2024;20:02:00;19;T3; RUI
27;1;6/04/2024;20:03:00;19;T4; SIL
63;2;10/04/2024;20:03:00;19;T4; SIL
27;1;6/04/2024;20:04:00;19;T5; DIS
63;2;10/04/2024;20:04:00;19;T5; DIS
27;1;6/04/2024;20:05:00;19;T6; SIL
63;2;10/04/2024;20:05:00;19;T6; SIL
27;1;6/04/2024;20:06:00;19;T7;RES
63;2;10/04/2024;20:06:00;19;T7;RES
27;1;6/04/2024;20:07:00;19;T8; SIL
63;2;10/04/2024;20:07:00;19;T8; SIL
27;1;6/04/2024;20:08:00;19;T9; RUI
63;2;10/04/2024;20:08:00;19;T9; RUI
27;1;6/04/2024;20:09:00;19;T10;SIL
63;2;10/04/2024;20:09:00;19;T10;SIL
27;1;6/04/2024;20:10:00;19;T11;DIS
63;2;10/04/2024;20:10:00;19;T11;DIS
35;1;6/04/2024;22:40:00;19;T1;RES
35;1;6/04/2024;22:41:00;19;T2; SIL
35;1;6/04/2024;22:42:00;19;T3; RUI
35;1;6/04/2024;22:43:00;19;T4; SIL
35;1;6/04/2024;22:44:00;19;T5; DIS
35;1;6/04/2024;22:45:00;19;T6; SIL
35;1;6/04/2024;22:46:00;19;T7;RES
35;1;6/04/2024;22:47:00;19;T8; SIL
35;1;6/04/2024;22:48:00;19;T9; RUI
35;1;6/04/2024;22:49:00;19;T10;SIL
35;1;6/04/2024;22:50:00;19;T11;DIS
28;1;6/04/2024;20:20:00;20;T1;DIS
64;2;10/04/2024;20:20:00;20;T1;DIS
28;1;6/04/2024;20:21:00;20;T2; SIL
64;2;10/04/2024;20:21:00;20;T2; SIL
28;1;6/04/2024;20:22:00;20;T3; RUI
64;2;10/04/2024;20:22:00;20;T3; RUI
28;1;6/04/2024;20:23:00;20;T4; SIL
64;2;10/04/2024;20:23:00;20;T4; SIL
28;1;6/04/2024;20:24:00;20;T5; RUI
64;2;10/04/2024;20:24:00;20;T5; RUI
28;1;6/04/2024;20:25:00;20;T6; SIL
64;2;10/04/2024;20:25:00;20;T6; SIL
28;1;6/04/2024;20:26:00;20;T7; RES
64;2;10/04/2024;20:26:00;20;T7; RES
28;1;6/04/2024;20:27:00;20;T8; SIL
64;2;10/04/2024;20:27:00;20;T8; SIL
28;1;6/04/2024;20:28:00;20;T9; DIS
64;2;10/04/2024;20:28:00;20;T9; DIS
28;1;6/04/2024;20:29:00;20;T10;  SIL
64;2;10/04/2024;20:29:00;20;T10;  SIL
28;1;6/04/2024;20:30:00;20;T11; RES
64;2;10/04/2024;20:30:00;20;T11; RES
29;1;6/04/2024;20:40:00;21;T1;RES
65;2;10/04/2024;20:40:00;21;T1;RES
29;1;6/04/2024;20:41:00;21;T2; SIL
65;2;10/04/2024;20:41:00;21;T2; SIL
29;1;6/04/2024;20:42:00;21;T3; DIS
65;2;10/04/2024;20:42:00;21;T3; DIS
29;1;6/04/2024;20:43:00;21;T4; SIL 
65;2;10/04/2024;20:43:00;21;T4; SIL 
29;1;6/04/2024;20:44:00;21;T5;RUI
65;2;10/04/2024;20:44:00;21;T5;RUI
29;1;6/04/2024;20:45:00;21;T6; SIL
65;2;10/04/2024;20:45:00;21;T6; SIL
29;1;6/04/2024;20:46:00;21;T7; DIS
65;2;10/04/2024;20:46:00;21;T7; DIS
29;1;6/04/2024;20:47:00;21;T8; SIL
65;2;10/04/2024;20:47:00;21;T8; SIL
29;1;6/04/2024;20:48:00;21;T9; RUI
65;2;10/04/2024;20:48:00;21;T9; RUI
29;1;6/04/2024;20:49:00;21;T10; SIL
65;2;10/04/2024;20:49:00;21;T10; SIL
29;1;6/04/2024;20:50:00;21;T11;  RES
65;2;10/04/2024;20:50:00;21;T11;  RES
33;1;6/04/2024;22:00:00;21;T1;RES
33;1;6/04/2024;22:01:00;21;T2; SIL
33;1;6/04/2024;22:02:00;21;T3; DIS
33;1;6/04/2024;22:03:00;21;T4; SIL 
33;1;6/04/2024;22:04:00;21;T5;RUI
33;1;6/04/2024;22:05:00;21;T6; SIL
33;1;6/04/2024;22:06:00;21;T7; DIS
33;1;6/04/2024;22:07:00;21;T8; SIL
33;1;6/04/2024;22:08:00;21;T9; RUI
33;1;6/04/2024;22:09:00;21;T10; SIL
33;1;6/04/2024;22:10:00;21;T11;  RES
30;1;6/04/2024;21:00:00;22;T1;RUI
66;2;10/04/2024;21:00:00;22;T1;RUI
30;1;6/04/2024;21:01:00;22;T2; SIL
66;2;10/04/2024;21:01:00;22;T2; SIL
30;1;6/04/2024;21:02:00;22;T3; RES
66;2;10/04/2024;21:02:00;22;T3; RES
30;1;6/04/2024;21:03:00;22;T4; SIL
66;2;10/04/2024;21:03:00;22;T4; SIL
30;1;6/04/2024;21:04:00;22;T5; DIS
66;2;10/04/2024;21:04:00;22;T5; DIS
30;1;6/04/2024;21:05:00;22;T6; SIL
66;2;10/04/2024;21:05:00;22;T6; SIL
30;1;6/04/2024;21:06:00;22;T7; DIS
66;2;10/04/2024;21:06:00;22;T7; DIS
30;1;6/04/2024;21:07:00;22;T8; SIL
66;2;10/04/2024;21:07:00;22;T8; SIL
30;1;6/04/2024;21:08:00;22;T9; RUI
66;2;10/04/2024;21:08:00;22;T9; RUI
30;1;6/04/2024;21:09:00;22;T10; SIL
66;2;10/04/2024;21:09:00;22;T10; SIL
30;1;6/04/2024;21:10:00;22;T11; RES
66;2;10/04/2024;21:10:00;22;T11; RES
31;1;6/04/2024;21:20:00;23;T1;DIS
67;2;10/04/2024;21:20:00;23;T1;DIS
31;1;6/04/2024;21:21:00;23;T2;SIL
67;2;10/04/2024;21:21:00;23;T2;SIL
31;1;6/04/2024;21:22:00;23;T3; RES
67;2;10/04/2024;21:22:00;23;T3; RES
31;1;6/04/2024;21:23:00;23;T4; SIL
67;2;10/04/2024;21:23:00;23;T4; SIL
31;1;6/04/2024;21:24:00;23;T5; RES
67;2;10/04/2024;21:24:00;23;T5; RES
31;1;6/04/2024;21:25:00;23;T6; SIL
67;2;10/04/2024;21:25:00;23;T6; SIL
31;1;6/04/2024;21:26:00;23;T7; RUI
67;2;10/04/2024;21:26:00;23;T7; RUI
31;1;6/04/2024;21:27:00;23;T8; SIL
67;2;10/04/2024;21:27:00;23;T8; SIL
31;1;6/04/2024;21:28:00;23;T9; RUI
67;2;10/04/2024;21:28:00;23;T9; RUI
31;1;6/04/2024;21:29:00;23;T10; SIL
67;2;10/04/2024;21:29:00;23;T10; SIL
31;1;6/04/2024;21:30:00;23;T11; DIS
67;2;10/04/2024;21:30:00;23;T11; DIS
34;1;6/04/2024;22:20:00;23;T1;DIS
34;1;6/04/2024;22:21:00;23;T2;SIL
34;1;6/04/2024;22:22:00;23;T3; RES
34;1;6/04/2024;22:23:00;23;T4; SIL
34;1;6/04/2024;22:24:00;23;T5; RES
34;1;6/04/2024;22:25:00;23;T6; SIL
34;1;6/04/2024;22:26:00;23;T7; RUI
34;1;6/04/2024;22:27:00;23;T8; SIL
34;1;6/04/2024;22:28:00;23;T9; RUI
34;1;6/04/2024;22:29:00;23;T10; SIL
34;1;6/04/2024;22:30:00;23;T11; DIS
32;1;6/04/2024;21:40:00;24;T1;RUI
68;2;10/04/2024;21:40:00;24;T1;RUI
32;1;6/04/2024;21:41:00;24;T2; SIL
68;2;10/04/2024;21:41:00;24;T2; SIL
32;1;6/04/2024;21:42:00;24;T3; DIS
68;2;10/04/2024;21:42:00;24;T3; DIS
32;1;6/04/2024;21:43:00;24;T4; SIL
68;2;10/04/2024;21:43:00;24;T4; SIL
32;1;6/04/2024;21:44:00;24;T5; RES
68;2;10/04/2024;21:44:00;24;T5; RES
32;1;6/04/2024;21:45:00;24;T6; SIL
68;2;10/04/2024;21:45:00;24;T6; SIL
32;1;6/04/2024;21:46:00;24;T7;DIS
68;2;10/04/2024;21:46:00;24;T7;DIS
